actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Сибирский федеральный округ,,Сибирский федеральный округ
,Дата решения,2018-07-05T01:00:00,,,,,,,,,case_common_doc_result_date,,,,,Thu Jul 05 01:00:00 GST 2018
,Дата решения,2018-07-05T01:00:00,,,,,,,,,case_user_doc_result_date,,,,,Thu Jul 05 01:00:00 GST 2018
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['05.07.2018', '14:00', '[У] Судебное заседание', '', '', '', '']",05.07.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,-421316803,05.07.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['03.07.2018', '10:00', '[У] Судебное заседание', '', '', '', '']",03.07.2018.  ...  .10:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,581283195,03.07.2018.  ...  .10:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['25.06.2018', '16:00', '[У] Судебное заседание', '', '', '', '']",25.06.2018.  ...  .16:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,1648574400,25.06.2018.  ...  .16:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['19.06.2018', '11:00', '[У] Судебное заседание', '', '', '', '']",19.06.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,-1333087562,19.06.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['06.06.2018', '11:00', '[У] Судебное заседание', '', '', '', '']",06.06.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,-548526312,06.06.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['30.05.2018', '10:00', '[У] Судебное заседание', '', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', '']",30.05.2018.  ...  .10:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .,1638044058,30.05.2018.  ...  .10:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['21.05.2018', '14:00', '[У] Судебное заседание', '', '', '', '']",21.05.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .,-118241599,21.05.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2018-05-04T01:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Fri May 04 01:00:00 GST 2018
