actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Уральский федеральный округ,,Уральский федеральный округ
,Дата решения,2018-03-26T01:00:00,,,,,,,,,case_common_doc_result_date,,,,,Mon Mar 26 01:00:00 GST 2018
,Дата решения,2018-03-26T01:00:00,,,,,,,,,case_user_doc_result_date,,,,,Mon Mar 26 01:00:00 GST 2018
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['26.03.2018', '15:00', '[У] Судебное заседание', '', '', '', '№104']",26.03.2018.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104,270052474,26.03.2018.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['26.03.2018', '14:00', '[У] Судебное заседание', '', '', '', '№104']",26.03.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104,798971513,26.03.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2018-03-15T01:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Thu Mar 15 01:00:00 GST 2018
,Статья УК РФ,,,[],,,,,,[],u_case_user_article,,,"Статья 229.1 Часть 3; Статья 30 Часть 1, Статья 228.1 Часть 4 п.г; Статья 228.1 Часть 4 п.г",,"Статья 229.1 Часть 3; Статья 30 Часть 1, Статья 228.1 Часть 4 п.г; Статья 228.1 Часть 4 п.г"
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['15.03.2018', '09:36', '[У] Регистрация поступившего в суд дела', '', '', '', '']",15.03.2018.  ...  .09:36.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .,448685850,15.03.2018.  ...  .09:36.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['15.03.2018', '15:18', '[У] Передача материалов дела судье', '', '', '', '']",15.03.2018.  ...  .15:18.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .,1721536408,15.03.2018.  ...  .15:18.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['19.03.2018', '08:07', '[У] Решение в отношении поступившего уголовного дела', '', '', '', '']",19.03.2018.  ...  .08:07.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  ..  ...  ..  ...  ..  ...  .,-934779945,19.03.2018.  ...  .08:07.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['26.03.2018', '14:00', '[У] Судебное заседание', '', '', '', '№104']",26.03.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104,1861549777,26.03.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['26.03.2018', '15:00', '[У] Судебное заседание', '', '', '', '№104']",26.03.2018.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104,1332630738,26.03.2018.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  ..  ...  .№104
