actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Центральный федеральный округ,,Центральный федеральный округ
,Дата решения,2018-02-06T04:00:00,,,,,,,,,case_common_doc_result_date,,,,,Tue Feb 06 04:00:00 GST 2018
,Дата решения,2018-02-06T04:00:00,,,,,,,,,case_user_doc_result_date,,,,,Tue Feb 06 04:00:00 GST 2018
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2017-11-30T04:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Thu Nov 30 04:00:00 GST 2017
,Статья УК РФ,,,[],,,,,,[],u_case_user_article,,,"Статья 228.1 Часть 4 п.г; Статья 30 Часть 3, Статья 228.1 Часть 4 п.г; Статья 229.1 Часть 3",,"Статья 228.1 Часть 4 п.г; Статья 30 Часть 3, Статья 228.1 Часть 4 п.г; Статья 229.1 Часть 3"
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['30.11.2017', '13:31', '[У] Регистрация поступившего в суд дела', '', '', '', '']",30.11.2017.  ...  .13:31.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .,-972187625,30.11.2017.  ...  .13:31.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['30.11.2017', '17:05', '[У] Передача материалов дела судье', '', '', '', '']",30.11.2017.  ...  .17:05.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .,-1892633247,30.11.2017.  ...  .17:05.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['06.12.2017', '13:53', '[У] Решение в отношении поступившего уголовного дела', '', '', '', '']",06.12.2017.  ...  .13:53.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  ..  ...  ..  ...  ..  ...  .,628900827,06.12.2017.  ...  .13:53.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['13.12.2017', '11:30', '[У] Судебное заседание', '', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', 'зал №1']",13.12.2017.  ...  .11:30.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .зал №1,-255370609,13.12.2017.  ...  .11:30.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .зал №1
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['18.12.2017', '10:30', '[У] Судебное заседание', '', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', 'зал №1']",18.12.2017.  ...  .10:30.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .зал №1,-1307496715,18.12.2017.  ...  .10:30.  ...  .[У] Судебное заседание.  ...  ..  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .зал №1
