actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Южный федеральный округ,,Южный федеральный округ
,Дата решения,2018-08-15T04:00:00,,,,,,,,,case_common_doc_result_date,,,,,Wed Aug 15 04:00:00 GST 2018
,Дата решения,2018-08-15T04:00:00,,,,,,,,,case_user_doc_result_date,,,,,Wed Aug 15 04:00:00 GST 2018
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2018-03-22T04:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Thu Mar 22 04:00:00 GST 2018
,Статья УК РФ,,,[],,,,,,[],u_case_user_article,,,Статья 228 Часть 2; Статья 229.1 Часть 3,,Статья 228 Часть 2; Статья 229.1 Часть 3
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['22.03.2018', '10:06', '[У] Регистрация поступившего в суд дела', '', '', '', '']",22.03.2018.  ...  .10:06.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .,-1727192893,22.03.2018.  ...  .10:06.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['22.03.2018', '15:00', '[У] Передача материалов дела судье', '', '', '', '']",22.03.2018.  ...  .15:00.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .,1552011203,22.03.2018.  ...  .15:00.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['22.03.2018', '17:24', '[У] Решение в отношении поступившего уголовного дела', '[У] Назначено предварительное слушание', '', '', '']",22.03.2018.  ...  .17:24.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено предварительное слушание.  ...  ..  ...  ..  ...  .,-1937226962,22.03.2018.  ...  .17:24.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено предварительное слушание.  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['29.03.2018', '12:00', '[У] Предварительное слушание', '[У] Назначено судебное заседание', '', '', '']",29.03.2018.  ...  .12:00.  ...  .[У] Предварительное слушание.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .,1847957929,29.03.2018.  ...  .12:00.  ...  .[У] Предварительное слушание.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['09.04.2018', '14:30', '[У] Судебное заседание', '[У] Заседание отложено', '', 'неявка в судебное заседание СВИДЕТЕЛЕЙ', '']",09.04.2018.  ...  .14:30.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание СВИДЕТЕЛЕЙ.  ...  .,-841015552,09.04.2018.  ...  .14:30.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание СВИДЕТЕЛЕЙ.  ...  .
